,class_code,mean_area,pct90_area,mean_side_length,std_side_length,max_side_length,pct90_longest_side,Region,Distance
0,CS,95.6211986,166.1701108,9.831502121,2.272719206,173.0286159,17.75574347,DC,14.19427139
1,ME,82.70831459,116.7000401,10.02215155,4.143337242,125.4576559,19.88440927,DC,8.799309365
2,SH,104.6890809,182.1321933,10.56937387,2.764374108,57.38189647,19.02178533,DC,71.3549221
3,SL,107.886703,184.1716854,10.64882047,2.019979895,125.5621927,19.04416998,DC,18.75544624
4,TL,126.2271108,222.3352717,11.50622026,2.410721686,118.6100643,20.64344557,DC,48.87394661
5,UR,87.14801216,117.2495767,10.512395,4.642612594,74.49967348,20.76587646,DC,29.03398465
6,WS,109.261167,212.2763976,10.58838146,2.205177761,47.65760767,19.00957876,DC,50.88236202
7,AP,220.2750655,334.6934357,15.38273085,2.096755848,139.575706,21.93087064,Denver,26.62936765
8,CN,379.3174514,590.0364839,21.17941932,3.249250957,86.19947264,34.78902943,Denver,44.48968258
9,CS,173.8690853,255.8508903,13.56422106,2.021023828,137.4513384,20.19023925,Denver,20.54934003
10,SL,542.6822908,1027.882964,27.10574961,5.348558595,95.97498521,54.0986192,Denver,214.8054965
11,TG,498.9422724,824.956488,22.75072417,6.634754757,228.9128707,49.07823106,Denver,175.8751152
12,TL,261.3838202,440.4097748,16.51069477,2.280716449,102.4253936,26.69268526,Denver,63.59977879
13,WS,250.7973371,393.9271049,16.69292436,2.598482059,70.66504124,27.52399362,Denver,44.57677979
